,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad, ,Duración,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
0011,GASCOL SUR,0011-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900057,SISTEMA B (RECONSTITUCION DE PULPA ),46567,PLAN MTTO PREDIC. FILTRO PRENSA JUGOS,13186647,TERMOGRAFÍA TAB. POTENCIA Y CONTROL,PM07,ABIE,2024-01-29,,Muy elevado/Urgente,,"0,5",,,,,,,,,,
0011,GASCOL SUR,0011-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900058,SISTEMA C (DISOLUCCION DE AZUCAR ),46568,PLAN MTTO PREDIC. FILTRO PRENSA JUGOS,13186648,MTTO FUGAS DE AIRE ULTRASONIDO,PM07,ABIE,2024-01-29,,Muy elevado/Urgente,,"0,5",,,,,,,,,,
0011,GASCOL SUR,0011-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,829074,COMPRESOR TORNILLO AIRE,29167,PLAN MTTO ELE COMPRES TORNI AIRE 829074,13135084,PREDIC. TERMOGRAFIA TABLERO DE CONTROL,PM02,ABIE,2024-01-30,,Muy elevado/Urgente,,"0,5",,,,,,,,,,
0011,GASCOL SUR,0011-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900061,SISTEMA F (CIP),46572,PLAN MTTO PREDIC. SISTEMA C,13186652,TERMOGRAFÍA TAB. POTENCIA Y CONTROL,PM07,ABIE,2024-01-29,,Muy elevado/Urgente,,"0,5",,,,,,,,,,
0011,GASCOL SUR,0011-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,698430,FILTRO PRENSA,46565,PLAN MTTO PREDICTIVO FILTRO DE BUJIAS,13186645,MTTO FUGAS DE AIRE ULTRASONIDO,PM07,ABIE,2024-01-29,,alto,,"0,5",PLAN MTTO PREDIC. FILTRO PRENSA JUGOS,13186647,TERMOGRAFÍA TAB. POTENCIA Y CONTROL,PM07,ABIE,2024-01-29,,Muy elevado/Urgente,,"0,5"
0011,GASCOL SUR,0011-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900056,SISTEMA A (DRUMP DUMPER ),46566,PLAN MTTO PREDIC. FILTRO PRENSA JUGOS,13186646,MEDICION AMPERAJES Y AISLAMIENTOS,PM07,ABIE,2024-01-29,,Muy elevado/Urgente,,"0,5",PLAN MTTO PREDIC. FILTRO PRENSA JUGOS,13186648,MTTO FUGAS DE AIRE ULTRASONIDO,PM07,ABIE,2024-01-29,,Muy elevado/Urgente,,"0,5"
0011,GASCOL SUR,0011-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900057,SISTEMA B (RECONSTITUCION DE PULPA ),46567,PLAN MTTO PREDIC. FILTRO PRENSA JUGOS,13186647,MEDICION AMPERAJES Y AISLAMIENTOS,PM07,ABIE,2024-01-29,,Muy elevado/Urgente,,"0,5",PLAN MTTO ELE COMPRES TORNI AIRE 829074,13135084,PREDIC. TERMOGRAFIA TABLERO DE CONTROL,PM02,ABIE,2024-01-30,,Muy elevado/Urgente,,"0,5"
0011,GASCOL SUR,0011-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900059,SISTEMA D (PREPARACION  ),46569,PLAN MTTO PREDIC. SISTEMA D (PREP),13186649,MEDICION AMPERAJES Y AISLAMIENTOS,PM07,ABIE,2024-01-29,,alto,,"0,5",PLAN MTTO PREDIC. SISTEMA C,13186652,TERMOGRAFÍA TAB. POTENCIA Y CONTROL,PM07,ABIE,2024-01-29,,Muy elevado/Urgente,,"0,5"
0011,GASCOL SUR,0011-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,900059,SISTEMA D (PREPARACION  ),46570,PLAN MTTO PREDIC. SISTEMA D (PREP),13186650,TERMOGRAFÍA TAB. POTENCIA Y CONTROL,PM07,ABIE,2024-01-29,,Muy elevado/Urgente,,"0,5",PLAN MTTO PREDICTIVO FILTRO DE BUJIAS,13186645,MTTO FUGAS DE AIRE ULTRASONIDO,PM07,ABIE,2024-01-29,,alto,,"0,5"
