,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,,Duración
79,POSTOBÓN BELLO,0079-LINEA 2,LINEA DE ENVASADO 12 ONZ,579100,DEPALETIZADORA,,SV_LDF_FABRICACION TABLERO INOX DEPALET,12921859,SV_LDF_FABRICACION TABLERO INOX DEPALET,PM02,LIB. DMNV MOVM NLIQ PREC,2023-09-26 05:00:00,Garcia Jesus,,,1
79,POSTOBÓN BELLO,0079-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,71951403,TRANSPORTADOR BOTELLON,45499,PLAN MTTO ELEC TRANSP BOTE L6 71951403,12965404,MTTO SIST ELECTRICO VARIADOR (13),PM02,LIB. NOTP DMNV FCAP KKMP NLIQ PREC,2023-09-26 05:00:00,Garcia Jesus,,,3
79,POSTOBÓN BELLO,0079-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,71951403,TRANSPORTADOR BOTELLON,45499,PLAN MTTO ELEC TRANSP BOTE L6 71951403,12965404,MTTO TRANSP ZONA 3 MOTORREDUCTOR (12),PM02,LIB. NOTP DMNV FCAP KKMP NLIQ PREC,2023-09-26 05:00:00,Hernandez Gabriel,,,4
79,POSTOBÓN BELLO,0079-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,560028,TRANSPORTADOR,45497,PLAN MTTO MEC TRANSP ESTIB L6 560028,13018478,MTTO ESTIBAS RODILLOS INOX (1),PM02,LIB. DMNV EDET MOVM NLIQ PREC,2023-09-26 05:00:00,ALEJANDRO VELASQUEZ RAMIREZ,,,1
79,POSTOBÓN BELLO,0079-LINEA 2,LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS,45427,PLAN MTTO ELEC TRANSP BOTELLAS L2 829646,13047847,MTTO SIST ELECTRICO VARIADORES (9),PM02,LIB. NOTP DMNV MOVM NLIQ PREC,2023-09-26 05:00:00,Garcia Jesus,,,1
79,POSTOBÓN BELLO,0079-EQUIPOS AUXILIARES AGUA,EQUIPOS DE SERVICIOS INDUSTRIALES  AGUA,649550,COMPRESOR DE AIRE,49547,PLAN MTTO MEC COMPR GA-15 EA AGC 649550,13047973,MTTO SIST COMPR COMPRESOR GA-15 TRIM (1),PM02,LIB. DMNV FCAP KKMP NLIQ PREC,2023-09-26 05:00:00,Hernandez Gabriel,,,8
79,POSTOBÓN BELLO,0079-LINEA 3,LINEA DE ENVASADO PET NO RETORNABLE,519550,LLENADORA K132759DB0,34975,PLAN MTTO ELEC LLENADORA L3 519550,13079617,MTTO SERVOACCIONAMIENTO VENTILACION (05),PM02,LIB. NOTIP. FCAP KKMP NLIQ PREC,2023-09-26 05:00:00,Perdomo Hernando,,,2
79,POSTOBÓN BELLO,0079-TALLER MANTTO PLANTA,TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,207025,TALLER INDUSTRIAL MANTENIMIENTO PLANTA,49338,PLAN MTTO MEC TALLER INDUSTRIAL 207025,13100257,MTTO TALLER MECANICO ASEO GENERAL,PM02,LIB. KKMP NLIQ PREC,2023-09-26 05:00:00,Duque Juan,,,1
79,POSTOBÓN BELLO,0079-TALLER MANTTO PLANTA,TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,207025,TALLER INDUSTRIAL MANTENIMIENTO PLANTA,49339,PLAN MTTO ELEC TALLER INDUSTRIAL 207025,13100261,MTTO TALLER ELECTRICO ASEO GENERAL,PM02,LIB. KKMP NLIQ PREC,2023-09-26 05:00:00,Garcia Jesus,,,1
79,POSTOBÓN BELLO,0079-PLANTA DE AGUAS,TRATAMIENTO DE AGUA PARA ENVASADO,709448,FLOCULADOR,49698,PLAN MTTO MEC FLOCUL PTAP 709448,13100329,MTTO ALMAC FLOCULADOR (20),PM02,ABIE FCAP KKMP LIBR NLIQ PREC,2023-09-26 05:00:00,Garcia Jesus,,,2
79,POSTOBÓN BELLO,0079-LINEA GARRAFAS,LINEA PARA LLENADO DE GARRAFAS,718369,LLENADORA DE GARRAFAS,46779,PLAN MTTO MEC LLENAD GARRAFAS L8 718369,13115011,DIAG GRAL LINEA GARRAFA LUNES  25 SEP/23,PM02,LIB. NOTP DMNV KKMP NLIQ PREC,2023-09-26 05:00:00,Hernandez Gabriel,,,1
