,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Descripción,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,Duración,
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,90007402,UNIDAD ULTRAVIOLETA,20340,MANT MECANICO UNIDAD ULTRAVIOLETA 1,13204185,INSPECCION SEMANAL UNIDAD ULTRAVIOLETA 1,PM02,ABIE,2024-01-01 05:00:00,,,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L9,LINEA DE ENVASADO TETRA LITRO LINEA 9,829907,ACUMULADOR DE ENVASES,42365,PLAN MTTO MEC. ACUMULADOR ENVASE TETRAL9,13216103,INSPECCION SEMANAL ACUMULADOR HELIX,PM02,ABIE,2024-01-05 05:00:00,,medio/Moderado,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L1,LINEA DE  ENVASADO DE TETRAPAK LINEA 1,519551,LLENADORA  A3 COMPACK  FLEX  TETRAPAK,17714,MANT MECANICO LLEN TETRA COMPACT FLEX,13215986,INSPECCION SEMANAL LLENADORA TETRA,PM02,ABIE,2024-01-05 05:00:00,,,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-PLANTA DE AGUA,TRATAMIENTO DE AGUA PARA ENVASADO,709780,BOMBA TANQUE AGUA TRATADA,44267,PLAN MTTO BOMBA TANQUE AGUA TRATADA,13216179,INSPECCION SEM. BOMBA TANQUE AGUA TRATAD,PM02,ABIE,2024-01-05 05:00:00,,medio/Moderado,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO JUGOS HIT,EQUIPOS PARA  ENVASADO JUGOS HIT,548108,EMPACADORA,18766,MANTENIMIENTO MECANICO EMPACADORA,13215992,INSPECCION SEMANAL EMPACADORA,PM02,ABIE,2024-01-05 05:00:00,,,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L9,LINEA DE ENVASADO TETRA LITRO LINEA 9,690112,PASTEURIZADOR TETRA PAK,42380,PLAN MTTO MECANICO  PASTER. TETRA L9,13216105,INSPECCION SEMANAL PASTER. TETRA L9,PM02,ABIE,2024-01-05 05:00:00,,alto,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L1,LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900213,PASTEURIZADOR,18912,MANTENIMIENTO MECANICO PASTEURIZA. TETRA,13215995,INSPECCION SEMANAL PASTEURIZADOR TETRA,PM02,ABIE,2024-01-05 05:00:00,,,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L1,LINEA DE  ENVASADO DE TETRAPAK LINEA 1,51955101,ACUMULADOR HELIX,18965,MANTENIMIENTO MECANICO ACUMULADOR HELIX,13215997,INSPECCION SEMANAL ACUMULADOR HELIX,PM02,ABIE,2024-01-05 05:00:00,,,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-ENVASADO TETRAPACK L1,LINEA DE  ENVASADO DE TETRAPAK LINEA 1,51955104,ENCARTONADORA,18966,MANTENIMIENTO MECANICO ENCARTONADORA,13215999,INSPECCION SEMANAL ENCARTONADORA,PM02,ABIE,2024-01-05 05:00:00,,,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,74963301,SISTEMA G (TABLEROS Y CONTROLES),20332,MANT MECANICO SISTE G TABLEROS-CONTROLES,13216019,INSPECCION SEMANAL SISTEMA G,PM02,ABIE,2024-01-05 05:00:00,,,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,90007402,UNIDAD ULTRAVIOLETA,20340,MANT MECANICO UNIDAD ULTRAVIOLETA 1,13216026,INSPECCION SEMANAL UNIDAD ULTRAVIOLETA 1,PM02,ABIE,2024-01-08 05:00:00,,Aguilar Gildardo,,"0,1",
0092,POSTOBÓN MEDELLÍN,0092-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,90007403,UNIDAD ULTRAVIOLETA,20339,MANT MECANICO UNIDAD ULTRAVIOLETA 2,13216024,INSPECCION SEMANAL UNIDAD ULTRAVIOLETA 2,PM02,ABIE,2024-01-05 05:00:00,,,,"0,1",
