,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Descripción,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,Duración,,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR  CONTROL  NIVEL BEBIDA  BOL,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR  FUNC. ABRIDOR DE MARIPOSAS,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR  FUNC. CERRADORES DE MARIPOSAS,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR ESTADO FILTROS AIRE TAPONADORA,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR  FUNC. SENSORES ACUMULACION,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR  FUNC. PARADA FALTA TAPA,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR  FUNC. SISTEMA MOTRIZ,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR  SISTEMA NEUMATICO,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR MANOMETROS Y REGULADORES,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR  FUNC.SISTEMA EXPLOSIONES,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR  ESTADO DE GUIAS Y ESTRELLAS,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR,VERIFICAR  FUNC. LUBRICONTROLES,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
393,G. LUX VILLAVICENCIO,0393-LINEA 2,"LINEA DE ENVASADO 12 ONZ Y 1,25 l",518546,LLENADORA,14659,INSPECCION SEMAAL LLENADORA CARBALLO,13241159,INSPECCIONAR, VER. SISTEMA ELEVACION BOL Y CORONADOR ,PM02,LIB.,2024-01-27,,alto,1,518546-1,,,,,,
