,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Descripción,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,Duración
79,POSTOBÓN BELLO,0079-LINEA 2,LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,25980,PLAN MTTO INSP TRANS BOT L2 829646,",",INSPECCIÓN SEMANAL TRANSP BEBI,REVISIÓN Y VERIFICACIÓN DEL ESTADO DEL EQUIPO Y SUS COMPONENTES,PM02,LIB.,",",Jorge Arley Jaramillo,bajo,3
79,POSTOBÓN BELLO,0079-LINEA 2,LINEA DE ENVASADO 12 ONZ,65964301,EXTRACTOR DE AMONIACO L2,29906,PLAN MTTO INSP EXTRAC AMONIA L2 65964301,",",INSPECCIÓN MEC SEMANAL EXTRACTOR NH3,REVISIÓN Y VERIFICACIÓN DEL ESTADO DEL EQUIPO Y SUS COMPONENTES,PM02,LIB.,",",BOTERO ACEVEDO JOHN JAIRO,bajo,1
79,POSTOBÓN BELLO,0079-AGUAS RESIDUALES  GASEOSA,TRATAMIENTO DE AGUAS DE DESECHO GASEOSAS,207428,PLANTA AGUAS RESIDUALES,26101,PLAN MTTO INSP P AGUA RESIDU PTAP 207428,",",INSPECCIÓN MEC SEMANAL PTAR,REVISIÓN Y VERIFICACIÓN DEL ESTADO DEL EQUIPO Y SUS COMPONENTES,PM02,LIB.,",",BOTERO ACEVEDO JOHN JAIRO,bajo,2
79,POSTOBÓN BELLO,0079-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX POSTMIX,589667,CODIFICADOR BOLSA LINEA BAG IN BOX POSTM,29907,PLAN MTTO INSP CODIFIC BOLSA BIB 589667,",",INSPECCIÓN SEMANAL CODIFICADOR B&B AOCHI,REVISIÓN Y VERIFICACIÓN DEL ESTADO DEL EQUIPO Y SUS COMPONENTES,PM02,LIB.,",",DUQUE SIERRA ANDRES FELIPE,bajo,1
79,POSTOBÓN BELLO,0079-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX POSTMIX,71021004,CODIFICADOR BIB,26014,PLAN MTTO INSP COD. BIB CAJA L4 71021004,",",INSPECCIÓN SEMANAL CODIFICADOR B&B,REVISIÓN Y VERIFICACIÓN DEL ESTADO DEL EQUIPO Y SUS COMPONENTES,PM02,LIB.,",",DUQUE SIERRA ANDRES FELIPE,bajo,1
79,POSTOBÓN BELLO,0079-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,638533,CONDENSADOR EVAPORATIVO NRO 1,26032,PLAN MTTO INSP COND EV 1 EA 638533,",",INSPECCIÓN SEMANAL CONDENSDADOR #1,REVISIÓN Y VERIFICACIÓN DEL ESTADO DEL EQUIPO Y SUS COMPONENTES,PM02,LIB.,",",Acosta Edgardo,bajo,1
79,POSTOBÓN BELLO,0079-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,638534,CONDENSADOR EVAPORATIVO NRO 2,26033,PLAN MTTO INSP COND EV 2 EA 638534,",",INSPECCIÓN SEMANAL CONDENSDADOR #2,REVISIÓN Y VERIFICACIÓN DEL ESTADO DEL EQUIPO Y SUS COMPONENTES,PM02,LIB.,",",Acosta Edgardo,bajo,1
79,POSTOBÓN BELLO,0079-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,638568,CONDENSADOR EVAPORATIVO NRO.3,26034,PLAN MTTO INSP COND EV 3 EA 638568,",",INSPECCIÓN SEMANAL CONDENSDADOR #3,REVISIÓN Y VERIFICACIÓN DEL ESTADO DEL EQUIPO Y SUS COMPONENTES,PM02,LIB.,",",Acosta Edgardo,bajo,1
79,POSTOBÓN BELLO,0079-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,689644,EQUIPOS AUXILIARES,38078,PLAN MTTO INSP RED DE CO2 EA 689644,",",INSPECCIÓN SEMANAL RED CO2,REVISIÓN Y VERIFICACIÓN DEL ESTADO DEL EQUIPO Y SUS COMPONENTES,PM02,LIB.,",",Acosta Edgardo,bajo,1
79,POSTOBÓN BELLO,0079-LINEA DISPENSADORES,LINEA ENVASADO BAG IN BOX POSTMIX,710210,LLENADORA DE BOLSAS BAG IN BOX,25990,PLAN MTTO INSP LLENADORA BOLSA L4 710210,",",INSPECCIÓN SEMANAL LLENADORA B&B,REVISIÓN Y VERIFICACIÓN DEL ESTADO DEL EQUIPO Y SUS COMPONENTES,PM02,LIB.,",",DUQUE SIERRA ANDRES FELIPE,bajo,1
